Condition ID,avg_growth,EX_glc__D_e,EX_ala__L_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,EX_gly_e,EX_his__L_e,EX_ile__L_e,EX_leu__L_e,EX_lys__L_e,EX_met__L_e,EX_phe__L_e,EX_pro__L_e,EX_ser__L_e,EX_thr__L_e,EX_trp__L_e,EX_tyr__L_e,EX_val__L_e,EX_thm_e,EX_pydxn_e
Cond00254,0.6115308504166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,2.0,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00255,0.6132522444166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00256,0.6221603567499999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.002,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00257,0.6245136982727272,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.02,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00258,0.6134719005,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,0.2,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00259,0.6282673411666667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.002,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00260,0.6544084442727273,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.02,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00261,0.7448045449999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.2,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00262,0.7997678044545453,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,2.0,0.2,0.02,0.2,0.01,0.0,0.1,0.002
Cond00263,0.6899540431666668,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.0,0.02,0.2,0.01,0.0,0.1,0.002
Cond00264,0.66543520575,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.002,0.02,0.2,0.01,0.0,0.1,0.002
Cond00265,0.6681896049999999,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.02,0.02,0.2,0.01,0.0,0.1,0.002
Cond00266,0.6923641094166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,2.0,0.02,0.2,0.01,0.0,0.1,0.002
Cond00267,0.6137678756666666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.0,0.2,0.01,0.0,0.1,0.002
Cond00268,0.6469294699166667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.002,0.2,0.01,0.0,0.1,0.002
Cond00269,0.63508461575,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.2,0.2,0.01,0.0,0.1,0.002
Cond00270,0.6118071716666666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,2.0,0.2,0.01,0.0,0.1,0.002
Cond00271,0.614886726,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.0,0.01,0.0,0.1,0.002
Cond00272,0.617563138,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.002,0.01,0.0,0.1,0.002
Cond00273,0.6444692141666667,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.02,0.01,0.0,0.1,0.002
Cond00274,0.6470337805,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,2.0,0.01,0.0,0.1,0.002
Cond00275,0.6176476496666666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.0,0.0,0.1,0.002
Cond00276,0.6158562943333333,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.001,0.0,0.1,0.002
Cond00277,0.6283828670833334,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.1,0.0,0.1,0.002
Cond00278,0.6507299957272727,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,1.0,0.0,0.1,0.002
Cond00279,0.6280076540833334,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.002,0.1,0.002
Cond00280,0.6384852478333333,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.02,0.1,0.002
Cond00281,0.83727134125,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.2,0.1,0.002
Cond00282,0.5859074506363636,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,2.0,0.1,0.002
Cond00331,0.6064496975833333,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.0,0.002
Cond00332,0.630917184,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.0001,0.002
Cond00333,0.6073347927272728,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.001,0.002
Cond00334,0.6194762851666666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.01,0.002
Cond00335,0.6134568433636364,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.0
Cond00336,0.635909045,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.0002
Cond00337,0.6301748161818183,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.02
Cond00338,0.6376616444166666,0.22,0.002,0.02,2.0,0.02,0.2,2.0,0.02,0.2,0.002,0.02,2.0,0.0,0.2,0.02,0.2,0.01,0.0,0.1,0.2
Cond00355,0.0,2.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00368,0.9378714904545454,0.02,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00369,1.228649747909091,0.22,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00370,1.0960564225,20.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00371,1.108724711,200.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00380,1.16974419625,2.0,0.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00381,1.216761051,2.0,0.001652893,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00382,1.2195277471666666,2.0,0.2,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00383,1.0764176184166667,2.0,2.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00384,1.09035334675,2.0,0.018181818,0.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00385,1.0944332460833335,2.0,0.018181818,0.001652893,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00386,1.17935168725,2.0,0.018181818,0.2,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00387,1.1394942486363637,2.0,0.018181818,2.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00388,1.15313328225,2.0,0.018181818,0.018181818,0.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00389,1.268139309,2.0,0.018181818,0.018181818,0.001652893,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00390,1.106553403818182,2.0,0.018181818,0.018181818,0.2,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00391,1.1517370629166666,2.0,0.018181818,0.018181818,2.0,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.018181818,0.009090909,0.018181818,0.000909091,0.001818182
Cond00576,0.0,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00590,0.3386392173,0.02,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00591,0.38704429533333334,0.22,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00592,0.26878277850000004,2.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00593,0.64216609925,40.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00594,0.71478567125,200.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00605,0.5279015574166667,20.0,0.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00606,0.5979469961666667,20.0,0.002,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00607,0.50489096625,20.0,0.02,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00608,0.5594624628333333,20.0,0.2,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00609,0.6195407091666667,20.0,4.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00610,0.5288020339166667,20.0,2.0,0.0,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00611,0.5417986767499999,20.0,2.0,0.002,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00612,0.5329545680833333,20.0,2.0,0.02,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00613,0.3472101965,20.0,2.0,1.0,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00614,0.6754910347499999,20.0,2.0,2.0,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00615,0.6803995475833333,20.0,2.0,0.2,0.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00616,0.5380837954166667,20.0,2.0,0.2,0.002,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00617,0.6722728931666667,20.0,2.0,0.2,0.02,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00618,0.5622369616666667,20.0,2.0,0.2,0.2,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00619,0.6350390445833333,20.0,2.0,0.2,4.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00635,0.6160136806666666,20.0,2.0,0.2,2.0,0.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00636,0.5243078995,20.0,2.0,0.2,2.0,0.002,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00637,0.3755679861818182,20.0,2.0,0.2,2.0,0.02,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00638,0.6138886388181818,20.0,2.0,0.2,2.0,0.2,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00639,0.6823463048333333,20.0,2.0,0.2,2.0,4.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00640,0.6486020675454545,20.0,2.0,0.2,2.0,2.0,0.0,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00641,0.41474708099999996,20.0,2.0,0.2,2.0,2.0,0.002,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00642,0.5943397563333334,20.0,2.0,0.2,2.0,2.0,0.1,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00643,0.6775911647499999,20.0,2.0,0.2,2.0,2.0,0.2,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00644,0.7432638655833333,20.0,2.0,0.2,2.0,2.0,2.0,0.002,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00646,0.5191469621818182,20.0,2.0,0.2,2.0,2.0,0.02,0.01,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00647,0.50803775625,20.0,2.0,0.2,2.0,2.0,0.02,0.02,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00648,0.6844329173333333,20.0,2.0,0.2,2.0,2.0,0.02,0.2,0.002,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00650,0.48116309327272727,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.0,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00651,0.58152074875,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.01,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00652,0.6898908026666667,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.02,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00653,1.1694369563333333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.2,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00654,1.1232776068333334,20.0,2.0,0.2,2.0,2.0,0.02,0.002,2.0,2.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00655,0.6260615505833333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,0.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00656,0.5222694702727272,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,0.002,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00657,0.433025797125,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,0.02,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00659,0.6511878293333333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,4.0,0.02,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00660,0.5787761245,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.0,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00661,0.56169578275,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.002,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00662,0.5847038382499999,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.1,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00663,0.5097444205833334,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.2,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00664,0.6198971308333333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,2.0,0.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00665,0.5525756405833333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.001,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00666,0.58555225475,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.002,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00667,0.51174661175,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.02,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00668,0.6267795505,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.2,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00669,0.6269731029166666,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,2.0,0.02,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00670,0.5509618156666667,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.0,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00671,0.5876079850833333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.002,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00672,0.4789527439166667,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.1,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00673,0.5205202391666667,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.2,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00674,0.6431492469166668,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,2.0,2.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00675,0.5253880414166666,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,0.0,2.0,0.02,0.2,1.0,0.2,0.01,0.002
Cond00676,0.6283625410833333,20.0,2.0,0.2,2.0,2.0,0.02,0.002,0.002,2.0,0.02,0.0,0.02,0.002,2.0,0.02,0.2,1.0,0.2,0.01,0.002
